                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.85177,                0.43674,                 0.8417,                0.75063,                0.42765,                0.48033,                0.30778,                 1.3252,                0.71916,                0.91167,             0.00045751,             0.00045751,             0.00045751
                    129,                0.95582,                0.46791,                0.84247,                0.73291,                0.42171,                0.47145,                 0.3027,                 1.3451,                0.72285,                0.91635,             0.00045549,             0.00045549,             0.00045549
                    130,                 0.9322,                0.45995,                0.84301,                0.75101,                0.42402,                0.47939,                0.30816,                  1.322,                0.70088,                0.90982,             0.00045347,             0.00045347,             0.00045347
                    131,                0.97454,                0.46889,                0.84114,                0.74507,                  0.435,                0.48218,                0.30644,                 1.3229,                0.71588,                0.91179,             0.00045145,             0.00045145,             0.00045145
                    132,                0.92386,                0.45129,                0.83171,                0.74125,                0.43671,                0.48176,                0.30781,                 1.3051,                0.70433,                0.91167,             0.00044943,             0.00044943,             0.00044943
                    133,                0.91092,                0.44829,                0.83095,                0.72799,                0.43269,                0.47954,                0.30809,                 1.3167,                 0.7094,                0.91041,             0.00044741,             0.00044741,             0.00044741
                    134,                0.85966,                  0.425,                0.83915,                0.74823,                0.42585,                0.47883,                0.30179,                 1.3575,                0.71706,                0.91834,             0.00044539,             0.00044539,             0.00044539
                    135,                0.88586,                0.43904,                0.83065,                0.74007,                 0.4333,                0.48056,                0.30772,                 1.3224,                0.72405,                 0.9121,             0.00044337,             0.00044337,             0.00044337
                    136,                0.86235,                0.42616,                0.83283,                0.73983,                0.42751,                0.48687,                 0.3136,                  1.295,                0.69648,                0.90758,             0.00044135,             0.00044135,             0.00044135
                    137,                0.87871,                0.42695,                0.83501,                0.73249,                0.43377,                0.48782,                0.31173,                 1.3199,                0.69744,                0.91091,             0.00043933,             0.00043933,             0.00043933
                    138,                0.90276,                0.44479,                0.83796,                0.74046,                0.43425,                0.48692,                0.31322,                 1.3201,                0.69666,                0.91334,             0.00043731,             0.00043731,             0.00043731
                    139,                 0.8771,                0.43399,                0.84167,                0.73215,                0.42148,                0.46982,                0.29956,                 1.3323,                0.70853,                0.91246,              0.0004353,              0.0004353,              0.0004353
                    140,                0.91788,                 0.4444,                0.82871,                0.79358,                0.42459,                 0.4898,                 0.3124,                 1.2867,                0.69231,                0.90418,             0.00043328,             0.00043328,             0.00043328
                    141,                0.90981,                0.44562,                0.83332,                0.74921,                0.43634,                0.48688,                0.31321,                 1.2955,                0.70852,                0.90966,             0.00043126,             0.00043126,             0.00043126
                    142,                0.96501,                0.45783,                0.83698,                0.76125,                0.42644,                0.47717,                0.30389,                 1.3197,                0.72997,                0.91329,             0.00042924,             0.00042924,             0.00042924
                    143,                0.89381,                0.44414,                0.83324,                 0.7191,                0.42451,                0.47183,                 0.3049,                 1.3152,                0.72084,                0.91168,             0.00042722,             0.00042722,             0.00042722
                    144,                0.89165,                0.44118,                0.83483,                0.74749,                0.41549,                0.46529,                 0.2999,                 1.3319,                0.71798,                0.91616,              0.0004252,              0.0004252,              0.0004252
                    145,                0.88002,                0.43377,                0.83089,                0.74022,                 0.4123,                0.46459,                 0.2986,                 1.3183,                0.71533,                0.91459,             0.00042318,             0.00042318,             0.00042318
                    146,                0.88388,                0.43693,                0.83711,                0.72485,                0.40978,                0.46274,                0.29731,                 1.3488,                0.72392,                0.91797,             0.00042116,             0.00042116,             0.00042116
                    147,                 0.9062,                0.44165,                0.83564,                0.75162,                0.42001,                0.47111,                0.29917,                 1.3355,                0.72896,                0.91484,             0.00041914,             0.00041914,             0.00041914
                    148,                0.91332,                0.44637,                0.83371,                0.75685,                0.43076,                0.48005,                0.31072,                 1.3029,                0.70579,                0.91291,             0.00041712,             0.00041712,             0.00041712
                    149,                0.88348,                0.42857,                0.82911,                0.73307,                0.43785,                0.47848,                0.30649,                 1.3035,                0.70074,                0.91703,              0.0004151,              0.0004151,              0.0004151
                    150,                 0.8663,                0.43045,                0.84021,                0.72806,                0.43778,                0.47794,                0.30329,                 1.3298,                0.71414,                0.91751,             0.00041308,             0.00041308,             0.00041308
                    151,                0.86448,                0.42262,                0.83278,                0.74695,                0.43857,                0.48629,                0.31191,                 1.3083,                0.71546,                0.91335,             0.00041106,             0.00041106,             0.00041106
                    152,                 0.8298,                0.41043,                0.83042,                  0.739,                0.42792,                0.47869,                0.31026,                 1.3084,                0.70508,                0.91188,             0.00040904,             0.00040904,             0.00040904
                    153,                0.93988,                0.44679,                0.83758,                0.73903,                 0.4244,                0.47033,                0.30501,                 1.3104,                0.72512,                0.90802,             0.00040702,             0.00040702,             0.00040702
                    154,                 0.9338,                0.43894,                0.84102,                0.75484,                0.41778,                0.47302,                0.30204,                 1.3258,                0.72222,                0.91228,               0.000405,               0.000405,               0.000405
